time,tp,olr,str,u10,v10,d2m,t2m,msl,sst,z,tcwv,v100,u100,Wind_Speed_10m,Wind_Speed_100m
2012-02-25 06:00:00,0.0,644744.0,-86457.625,3.1526184,0.2604828,3.8645935,4.5952454,1024.97,,-1.4674817,9.742861,-0.57777405,5.535553,3.1633613,5.5656238
2012-02-27 06:00:00,6.67572e-06,754609.0,-60400.125,4.142044,3.6447754,3.5309753,4.699066,1025.295,,-1.4674817,16.783134,5.1125946,7.1954346,5.5173287,8.826829
2012-02-29 06:00:00,1.1444092e-05,879358.0,23556.438,2.0768127,1.4931946,6.9056396,7.1164856,1024.7488,,-1.4674817,22.187145,1.832489,4.071472,2.5578861,4.464852
2012-03-01 06:00:00,1.4305115e-06,866661.0,-60998.688,1.6645813,1.6668701,5.964386,6.292816,1024.9431,,-1.4674817,20.809914,1.4672394,3.1798553,2.3556924,3.502038
2012-03-03 06:00:00,6.341934e-05,844392.0,-10921.0,-1.5729675,3.2551575,7.0708923,7.74411,1020.3787,,-1.4674817,15.216718,5.902527,-1.7054901,3.6152837,6.1439824
2012-03-05 06:00:00,0.0004825592,660039.0,-5952.3125,-2.9037018,2.537201,6.0956116,6.9043274,1009.0694,,-1.4674817,16.000687,4.478485,-3.9319916,3.8560178,5.9596467
2012-03-07 06:00:00,0.0,569800.0,-143484.0,1.6889191,5.748703,1.7111511,3.5490417,1021.9338,,-1.4674817,10.08445,8.737915,3.3543243,5.9916635,9.359629
2012-03-09 06:00:00,0.0,799782.0,-60985.625,2.4346313,3.8333435,3.1619263,5.329193,1034.2518,,-1.4674817,13.970861,5.886734,5.2648163,4.54114,7.8975897
2012-03-11 06:00:00,0.0,836597.0,-243633.69,1.7914429,-2.3689117,4.894409,5.697052,1035.4681,,-1.4674817,15.350774,-5.2584534,2.9352875,2.9700186,6.022229
2012-03-13 06:00:00,2.3841858e-06,878473.0,-21415.0,0.49868774,-1.4749146,5.372223,6.450897,1034.0781,,-1.4674817,11.198072,-1.900528,0.58335876,1.5569401,1.9880427
2012-03-15 06:00:00,0.0,877405.0,-241701.56,-1.3609009,1.6372528,1.4667664,2.1443176,1028.1469,,-1.4674817,8.779958,3.8679962,-2.1293488,2.1290016,4.4153733
2012-03-17 06:00:00,1.9073486e-06,781744.0,-155576.5,2.1083374,3.170517,4.605255,6.1915894,1016.0525,,-1.4674817,13.250848,4.6700897,4.786194,3.8075273,6.6871066
2012-03-19 06:00:00,0.0,847774.0,-285298.56,2.6907043,-0.6904602,0.6802368,1.8929749,1028.1094,,-1.4674817,6.804179,-1.9623108,4.738739,2.7778814,5.128968
2012-03-21 06:00:00,0.0,821449.0,-217429.06,1.5984497,2.018692,3.9361877,4.410095,1035.6725,,-1.4674817,15.14316,2.0398254,3.764267,2.5749097,4.281424
2012-03-23 06:00:00,0.0,911293.0,-253486.38,-3.4224243,-0.69621277,4.992584,6.005829,1027.83,,-1.4674817,12.354048,-0.25001526,-6.6189117,3.4925206,6.623632
2012-03-25 06:00:00,0.0,871675.0,-276232.25,-2.330368,-2.7366333,4.208069,4.8634644,1032.3137,,-1.4674817,9.885257,-3.8115997,-3.6982117,3.5944092,5.310844
2012-03-27 06:00:00,0.0,878257.0,-251461.31,0.5228119,-2.198471,2.9267578,4.615143,1036.1556,,-1.4674817,11.155358,-4.7418365,0.032287598,2.2597804,4.7419467
2012-03-29 06:00:00,0.0,708345.0,-228785.5,2.7014618,-2.9246368,5.976349,6.988556,1026.1,,-1.4674817,16.65048,-5.640213,3.9535828,3.9813812,6.8878746
2012-03-31 06:00:00,1.0967255e-05,869549.0,-148030.31,3.3795319,-4.7477264,5.2844543,7.346344,1014.355,,-1.4674817,12.8052225,-7.119171,4.606018,5.827705,8.479269
2012-04-01 06:00:00,0.0,769789.0,-250653.12,2.043274,-2.2364197,-0.20840454,2.6661682,1020.20123,,-1.4674817,10.737991,-4.248642,3.0121765,3.0292807,5.2080865
2012-04-03 06:00:00,0.0,688155.0,-113688.44,-0.19158936,1.742691,3.2814636,3.6029968,1003.8169,,-1.4674817,11.162485,2.0900574,0.16331482,1.753191,2.0964284
